Book Title,Total Diamonds,Outfits With Effect,Outfits/Hair No Effect,LI's With Effect,LI's No Effect,Other With Effect,Other No Effect,Chapters
Across the Void,1405,25,167,603,50,178,128,22
America's Most Eligible Book 1,1950,240,35,470,62,437,133,20
America's Most Eligible book 2,1557,195,35,275,206,271,67,16
America's Most Eligible Book 3,1091,95,120,201,0,534,0,16
A Very Scandalous Proposal,904,170,135,82,0,341,151,16
Baby Bump,1122,25,162,0,268,73,381,16
Baby Bump 2,,,,,,,,23
Bachelorette Party,926,0,215,0,317,0,263,15
Big Sky Country Book 1,1171,0,210,0,364,0,142,16
Big Sky Country Book 2,1235,25,185,0,421,16,288,16
Blades of Light and Shadow,1182,0,120,250,60,430,162,16
Bloodbound Book 1,891,0,215,0,359,0,242,16
Bloodbound Book 2,1158,25,190,0,293,0,365,16
Bloodbound Book 3,1502,0,190,159,266,198,266,16
Bloodbound: Dark Solstice,407,0,65,0,81,0,121,4
The Crown and the Flame Book 1,823,41,25,102,0,493,87,18
The Crown and the Flame Book 2,655,50,25,76,0,434,60,16
The Crown and the Flame Book 3,741,62,25,20,0,499,135,17
A Courtesan of Rome,1413,25,335,695,18,80,160,21
Crimes of Passion Book 1,,,,,,,,17
The Cursed Heart Book 1,,,,,,,,16
Desire & Decorum Book 1,1157,215,65,435,0,143,128,16
Desire & Decorum Book 2,1260,265,65,367,30,185,132,16
Desire & Decorum Book 3,1487,277,105,124,78,390,260,18
Desire & Decorum: First Winter,289,100,0,34,50,0,105,4
Distant Shores,995,100,110,385,0,70,194,16
The Elementalists Book 1,1663,0,200,397,0,282,314,19
The Elementalists Book 2,1432,87,157,258,0,175,377,17
The Elementalists: Winters Past,340,25,20,68,19,51,67,4
Endless Summer Book 1,804,25,0,215,0,247,158,16
Endless Summer Book 2,949,150,25,165,0,223,156,15
Endless Summer Book 3,849,150,25,122,0,163,35,12
Foreign Affairs,1242,0,222,337,60,303,30,16
The Freshman Book 1,741,37,125,73,140,119,67,17
The Freshman Book 2,630,75,50,143,0,93,17,15
The Freshman Book 3,693,0,100,99,48,53,112,17
The Freshman Book 4,533,0,50,20,100,122,149,8
The Sophomore Book 1,1244,0,70,102,108,189,131,17
The Sophomore Book 2,1250,0,170,0,121,337,140,15
The Junior,1259,0,300,30,102,91,264,13
The Senior,1622,25,170,0,251,12,441,15
The Freshman Luxury Getaway,0,0,0,0,0,0,0,1
The Freshman Masquerade Ball,0,0,0,0,0,0,0,1
The Freshman The Perfect Date,0,0,0,0,0,0,0,1
The Freshman Love Bites,80,0,25,0,0,0,20,2
The Freshman Snowed In,135,0,25,0,30,0,0,2
The Freshman Game of Love,115,0,0,0,55,0,0,2
The Sophomore: Hartfeld Horror Story,275,0,25,0,30,0,29,2
Getaway Girls,,,,,,,,10 (unfinished)
Guinevere,,,,,,,,17
The Haunting of Braidwood Manor,122,0,25,0,67,0,30,6
The Heist - Monaco,961,135,35,38,162,250,153,16
Hero,847,62,175,264,30,52,70,15
High School Story Book 1,1094,25,140,200,30,54,104,15
High School Story Book 2,1059,65,85,47,50,173,191,15
High School Story Book 3,961,0,165,60,30,97,283,16
HSS Class Act Book 1,781,0,185,222,0,0,234,15
HSS Class Act Book 2,910,95,90,293,18,162,84,15
HSS Class Act Book 3,1008,25,105,81,49,107,541,16
Home for the Holidays,747,140,40,158,75,33,72,10
Hot Couture,1040,240,85,362,60,154,31,16
Immortal Desires Book 1,,,,,,,,16
It Lives Beneath,1140,75,45,287,30,385,148,17
It Lives in the Woods,1396,45,40,443,12,340,214,16
Kiss of Death,,,,,,,,20 (unfinished)
Laws of Attraction Book 1,,,,,,,,16
Laws of Attraction Book 2,,,,,,,,16
LoveHacks Book 1,639,12,175,35,128,56,204,18
LoveHacks Book 2,1050,20,335,61,132,108,209,18
Most Wanted,400,0,50,0,0,201,109,15
Mother of the Year,1127,75,212,482,0,65,223,17
Ms. Match,776,0,332,0,170,0,241,15
Murder at Homecoming,,,,,,,,16
My Two First Loves,1698,0,290,0,963,0,522,100
The Nanny Affair,911,225,27,321,180,79,79,20
The Nanny Affair Book 2,,,,,,,,20
The Nanny Affair Book 3,,,,,,,,20
Nightbound,1099,0,135,0,218,15,438,16
Open Heart Book 1,1142,0,262,0,489,0,176,17
Open Heart: Second Year,1406,0,255,0,465,0,384,20
Open Heart: Third Year,,,,,,,,16
Passport to Romance,1484,200,85,446,48,99,31,15
Perfect Match Book 1,958,25,230,20,333,0,248,16
Perfect Match Book 2,941,40,165,0,420,15,138,15
The Phantom Agent,,,,,,,,17
Platinum,1117,250,100,125,246,73,112,16
The Princess Swap,,,,,,,,18
Queen B,965,340,0,141,139,312,33,16
Queen B Book 2,,,,,,,,16
Red Carpet Diaries Book 1,942,25,215,0,347,0,157,16
Red Carpet Diaries Book 2,1264,70,185,0,376,0,178,16
Red Carpet Diaries Book 3,910,107,127,64,396,68,78,17
Ride or Die: A Bad Boy Romance,1112,0,274,0,450,0,206,16
Rising Tides,650,35,172,147,50,32,169,12
Roommates with Benefits,,,,,,,,6 (unfinished)
The Royal Masquerade,1164,0,302,0,456,0,273,17
The Royal Romance Book 1,1021,125,177,447,0,51,68,19
The Royal Romance Book 2,1164,217,130,457,57,103,65,19
The Royal Romance Book 3,1177,120,285,257,15,103,207,22
The Royal Heir Book 1,,,,,,,,19
The Royal Heir Book 2,,,,,,,,20
The Royal Heir Book 3,,,,,,,,19
The Royal Finale,,,,,,,,17
The Royal Holiday,253,0,102,0,88,0,63,4
Rules of Engagement Book 1,523,0,100,79,171,0,163,19
Rules of Engagement Book 2,966,0,240,321,109,0,145,21
Rules of Engagement Book 3,1132,50,282,401,37,52,78,18
Rules of Engagement Newlyweds,375,0,115,0,200,0,15,5
Save the Date,906,50,210,385,18,0,163,15
Shipwrecked,,,,,,,,16
Slow Burn,,,,,,,,16
Sunkissed,1204,105,135,336,55,157,259,17
Surrender Book 1,,,,,,,,19
Surrender Book 2,,,,,,,,14 (unfinished)
The Unexpected Heiress,954,200,85,368,0,190,32,16
Untameable Book 1,,,,,,,,18
Veil of Secrets,961,0,235,0,189,211,20,16
Wake the Dead,,,,,,,,20
Wishful Thinking,867,50,115,238,106,51,252,14
With Every Heartbeat,801,0,172,0,342,0,287,16
Witness: A Bodyguard Romance,2277,265,207,1078,214,34,334,28
Wolf Bride,,,,,,,,16